NoExperimento,Fecha,Burbujeos,M,Bolsas,TimeExec (hrs),TiempoXBurbujeo (min),Nodos,Cores
0,2021-05-26,20,12000,6,1.2206165,3.6618495,3,96
1,2021-06-16,40,30000,5,5.803910208,8.705865312,3,96
2,2021-06-17,60,30000,6,7.682508786,7.682508786,3,96
3,2021-06-17,60,40000,5,10.7425618,10.7425618,3,96
4,2021-06-18,100,30000,5,11.60920044,6.965520266,3,96
5,2021-06-19,100,40000,6,16.58759528,9.95,3,96
6,2021-07-03,150,40000,4,28.18709563,11.27483825,3,96
7,2021-07-15,100,50000,4,25.63036037,15.37822,3,96
8,2021-07-18,150,50000,6,28.75142422,11.50057,3,96
9,2021-07-23,50,70000,5,16.5595031,19.87140372,3,96
10,2021-07-26,80,70000,6,22.64525848,16.98394386,3,96
11,2021-07-28,80,70000,5,24.01649607,18.01237205,3,96
12,2021-08-03,30,100000,5,14.70105892,29.40211785,3,96
13,2021-08-04,30,100000,6,12.87655241,25.75310483,3,96
14,2021-08-06,60,100000,6,24.8611007,24.8611007,3,96
15,2021-09-16,100,40000,6,16.46383337,9.87830002,3,96
16,2021-09-18,50,70000,6,14.15758962,16.98910755,3,96
17,2021-09-23,50,70000,4,16.78271627,20.13925952,3,96
18,2021-09-28,100,100000,5,45.3256109,27.19536654,3,96
19,2021-10-06,110,110000,6,51.11053275,27.87847241,3,96
20,2021-10-14,110,110000,6,50.32273644,27.44876533,3,96
21,2021-10-18,10,100000,6,5.762291921,34.57375153,3,96
22,2021-10-25,10,100000,6,5.933560167,35.601361,3,96
23,2021-10-26,150,50000,5,34.84975394,13.93990158,3,96
24,2021-10-28,150,50000,6,32.99096748,13.19638699,3,96
25,2021-11-05,170,40000,6,30.92450519,10.91453124,3,96
26,2021-11-10,170,50000,5,37.2376348,13.14269463,3,96
27,2021-11-11,170,50000,5,40.96004261,14.45648563,3,96
28,2021-11-15,100,50000,5,22.81102746,13.68661648,3,96
29,2021-11-23,100,50000,5,21.86616689,13.11970013,3,96
30,2021-11-24,100,50000,5,21.38343793,12.83006276,3,96
31,2021-11-27,150,60000,6,36.22972967,14.49189187,3,96
32,2021-11-28,50,60000,5,13.74885842,16.49863011,3,96
33,2021-11-29,100,60000,5,26.29174938,15.77504963,3,96
33,2021-11-30,100,80000,5,35.92581513,21.55548908,3,96
34,2021-12-01,50,80000,7,16.78747803,20.14497364,3,96
35,2021-12-07,150,60000,6,38.93233229,15.57293292,3,96
36,2021-12-08,150,60000,5,42.15325002,16.86130001,3,96
37,2021-12-09,150,60000,5,43.39076739,17.35630695,3,96
38,2021-12-10,130,90000,5,54.51367056,25.16015564,3,96
39,2021-12-11,130,90000,6,47.54521839,21.94394695,3,96
40,2021-12-12,130,90000,6,55.93581067,25.816528,3,96
41,2021-12-13,70,50000,6,16.09358498,13.79450141,3,96
42,2021-12-13,70,50000,6,14.73218595,12.62758796,3,96
43,2021-12-13,70,50000,6,14.09053811,12.07760409,3,96
44,2021-12-13,70,50000,5,17.70628939,15.17681948,3,96
45,2021-12-13,70,50000,5,14.60383357,12.51757163,3,96
46,2021-12-15,90,40000,6,14.76617984,9.844119894,3,96
47,2021-12-16,90,40000,5,16.0675189,10.71167927,3,96
48,2021-12-17,90,40000,6,16.19666623,10.79777748,3,96
49,2021-12-18,90,40000,6,14.46886642,9.645910947,3,96
